Instruction,Input,Output
Write a Python code snippet to display all the items stored in a list given below.,"list_items = ['Apple', 'Mango', 'Banana']","for item in list_items:
    print(item)"
Write a function in Python to find the number of prime numbers up to a given number.,100,"def countPrimes(num): 
    if num <= 1:  
        return 0
 
    primes = [2] 
    x = 3
    
    while x <= num: 
        for y in primes: 
            if x % y == 0: 
                x += 2
                continue
        primes.append(x) 
        x += 2
    
    return len(primes) 

num_primes = countPrimes(100)
print(""Number of primes between 1 and 100:"", num_primes)"
"In Python, create a function that takes an list of numbers and returns the list with any duplicate values removed.","[1,2,3,3,2,1,4,5]","def remove_duplicates(list_num):
    return list(dict.fromkeys(list_num))

list_num = [1,2,3,3,2,1,4,5]
list_num = remove_duplicates(list_num)
print(list_num)  // [1, 2, 3, 4, 5]"
Optimize the following Python program to print numbers from 1 to 100 without using a loop.,"def print_numbers():
    num = 1
    while num <=100:
        print(num)
        num += 1","def print_numbers():
    if num <= 100:
        print(num)
        print_numbers(num + 1)

print_numbers(1)"
"Using Python, create a program to print a random element from a list.","[""apple"", ""banana"", ""mango"", ""pear"", ""grape""]","import random

# list of fruits
fruits = [""apple"", ""banana"", ""mango"", ""pear"", ""grape""]

# generate a random index
randomIndex = random.randint(0, len(fruits)-1)

# select and print the random fruit
randomFruit = fruits[randomIndex]
print(""Random fruit: "" + randomFruit)"
Generate a Python program to scrape the headlines from a given news article.,https://www.bbc.com/news/uk-england-london-53741405,"import requests
from bs4 import BeautifulSoup

url = ""https://www.bbc.com/news/uk-england-london-53741405""

page = requests.get(url)
soup = BeautifulSoup(page.content, 'html.parser')

headlines = soup.find_all('h1', class_='story-body__h1')
for headline in headlines:
 print(headline.text)"
Generate a Python program to filter out any words containing a given letter from a list.,"words = [""apple"", ""banana"", ""orange"", ""peach""]
letter = ""e""","def filter_words(words, letter):
    filtered_words = []
    
    for word in words:
        if letter not in word:
            filtered_words.append(word)
    
    return filtered_words"
"Given the following data, generate a Python program that sorts the data in ascending order.","[5, 3, 10, 4, 1]","def sort_list(list_input):
    sorted_list = sorted(list_input)
    return sorted_list"
Generate a unique ID in Python for a given string.,"string = ""Hello World!""","import uuid
unique_id = uuid.uuid3(uuid.NAMESPACE_DNS, string)"
Write a Python program to add a prefix and suffix to all strings in a list.,"list = ['abc', 'def', 'ghi']","pre = ""PRE-""
suf = ""-SUF""

enriched_list = [ pre + s + suf for s in list]

print(enriched_list)"
Edit the given code segment in Python and make it a valid program:,"x = 5
def add_two_numbers(x, y):
    z = x + y
    return z","x = 5
def add_two_numbers(x, y):
    z = x + y
    return z

result = add_two_numbers(x, 5)
print(result)"
Create a Python script to convert an input JSON string into a Python dictionary.,"{""name"": ""John"", ""age"": 30, ""country"": ""USA""}","import json

input_string = '{""name"": ""John"", ""age"": 30, ""country"": ""USA""}'

python_dict = json.loads(input_string)
print(python_dict) # Output: {'name': 'John', 'age': 30, 'country': 'USA'}"
Create a Python function that takes a list of strings as an argument and returns a new sorted list with no duplicates.,"['cat', 'dog', 'cat', 'mouse', 'lion', 'dog']","def remove_duplicates(strings):
  new_list = []
  for s in strings:
    if s not in new_list:
      new_list.append(s)
  new_list.sort()
  return new_list

strings = [""cat"", ""dog"", ""cat"", ""mouse"", ""lion"", ""dog""]
unique_list = remove_duplicates(strings)

print(unique_list)"
Find the minimum element in a Python list called 'nums',"nums = [2, 3, 4, 1, 7, 8, 5]","""""""
Find the minimum element in a Python list called 'nums'
""""""

def find_min(nums):
    min = nums[0]
    for num in nums:
        if num < min:
            min = num
    return min
    
if __name__ == '__main__':
    nums = [2, 3, 4, 1, 7, 8, 5]
    print(find_min(nums))"
Write a Python program to multiply two given numbers and print their product,"num1 = 10
num2 = 8","product = num1 * num2
print(product)"
Translate the following pseudocode into Python.,"// read two numbers
// add the two numbers
// output the result","# Read two numbers
n1 = int(input()) 
n2 = int(input()) 

# Add the two numbers
result = n1 + n2

# Output the result
print(result)"
Create a function in Python to filter out elements in a list that share the same value.,"mylist = [1, 2, 2, 3, 3, 3]","def filter_same_value_elements(mylist):
 seen = set()
 for item in mylist:
 if item not in seen:
 yield item
 seen.add(item)

filtered_list = list(filter_same_value_elements(mylist))
print(filtered_list) # [1, 2, 3]"
Modify the following code to make it more Pythonic.,"list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]

result = []
for i in range(len(list1)):
result.append(list1[i] * list2[i])","list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]

result = [x * y for x, y in zip(list1, list2)]"
Design a program in Python that takes 4 numbers as input and prints out the product of the first three numbers.,"1, 2, 3, 4","def product(nums):
    product = 1
    for i in range(3):
        product *= nums[i]
    return product

nums = [int(x) for x in input().split("","")]
print(product(nums))"
Generate a Python program to calculate the sum of all numbers in a list and print it out.,"[1, 2, 3, 4, 5]","def sum_list(l):
    result = 0
    for num in l:
        result += num
    return result

list = [1, 2, 3, 4, 5]
print(sum_list(list))"
Create a python code to print the frequency of each character in a string.,"String: ""Hello World""","for char in ""Hello World"":
    print(char, "":"", ""Hello World"".count(char))"
Suggest a correction for the following python code to return the average of a given list of numbers.,"def avg(numbers):
 sum = 0
 for n in numbers:
 sum = sum + n
 return sum","def avg(numbers):
 sum = 0
 for n in numbers:
 sum = sum + n
 return sum / len(numbers)"
Generate a string of random characters in Python. The length of the string should be determined by a parameter.,length = 20,"import string 
import random
 
def generate_random_string(length):
 return ''.join(random.choice(string.ascii_letters + string.digits) for _ in range(length))
 
length = 20
print(generate_random_string(length))"
How would you parse the following JSON string in Python?,"{
    ""name"": ""John Doe"", 
    ""age"": 34, 
    ""email"": ""john@example.com""
}","import json

json_string = '{""name"": ""John Doe"", ""age"": 34, ""email"": ""john@example.com""}'
data = json.loads(json_string)

name = data['name']
age = data['age']
email = data['email']"
Write a Python function that gets a list of numbers and returns the sum of the elements.,"List = [1, 2, 3, 4, 5]","def get_sum(list):
    total = 0
    for num in list:
        total += num
    return total"
Construct an algorithm in Python to compute the sum of a array of numbers.,"[3,5,1,2]","def compute_sum(arr):
    
    # Initialize sum
    sum = 0
    
    # Compute sum
    for num in arr:
        sum += num
    
    # Return the sum
    return sum

# Testing
arr = [3,5,1,2]

print(compute_sum(arr))"
Create an efficient sorting algorithm in Python to sort a given array.,"[9, 4, 6, 1, 3, 7]","def sort_arr(arr):
    n = len(arr)
    for i in range(n): 
        for j in range(0, n-i-1): 
            if arr[j] > arr[j+1] : 
                arr[j], arr[j+1] = arr[j+1], arr[j]  
    return arr

result = sort_arr([9, 4, 6, 1, 3, 7])
print(result)"
Create a hash table in Python.,<no input>,"table = dict()

table['one'] = 1
table['two'] = 2
table['three'] = 3"
Create a Python program that takes a given list of numbers and remove any duplicate numbers.,"sample input: [1, 2, 2, 3, 3, 4]","def remove_duplicates(arr):
 result = []
 
 for num in arr:
 if num not in result:
 result.append(num)
 
 return result

# testing 
arr = [1, 2, 2, 3, 3, 4]
print(remove_duplicates(arr)) # Output: [1, 2, 3, 4]"
Design a program in Python to filter the elements from a list which are not divisible by 3.,"[2, 3, 4, 5, 6, 7, 8, 9]","def filter_list(arr):
    filtered_list = []
    for num in arr:
        if num % 3 != 0:
            filtered_list.append(num)
    return filtered_list

print(filter_list([2, 3, 4, 5, 6, 7, 8, 9]))"
Optimize the following Python program to run faster.,"def remove_duplicates(lst):
  s = set()
  for item in lst:
    if item in s:
      pass
    else:
      s.add(item)
  return s

lst = [1, 2, 4, 2, 5, 6, 3, 3]
new_list = remove_duplicates(lst)
print(new_list)","def remove_duplicates(lst):
  return list(set(lst))

lst = [1, 2, 4, 2, 5, 6, 3, 3]
new_list = remove_duplicates(lst)
print(new_list)"
Write a Python program that removes duplicates from a list.,"Input List: [1, 2, 3, 4, 3, 2, 1]","def remove_duplicates(my_list):
 return list(dict.fromkeys(my_list))

my_list = [1, 2, 3, 4, 3, 2, 1]

print(remove_duplicates(my_list)) # output [1, 2, 3, 4]"
Convert the following Ruby code snippet to Python,"name = ""Jared""
puts ""Hello #{name}""","name = ""Jared""
print(f""Hello {name}"")"
You are given a 2D list that needs to be flattened into a single dimensional list. Write some python code to achieve this transformation.,"[[1, 2], [3, 4], [5, 6]]","def flatten_list(input_list): 
    flattened_list = [] 
      
    # traversing the 2d list  
    for row in input_list: 
        # traversing the row 
        for column in row: 
            flattened_list.append(column) 
    return flattened_list"
"Using Python, generate a program to count the number of words in a given sentence.","given_sentence = ""This is a given sentence""","def count_words(given_sentence):
    return(len(given_sentence.split()))

given_sentence = ""This is a given sentence""
word_count = count_words(given_sentence)
print(""Number of words in given sentence is: "", word_count)"
"Implement bubble sort, an efficient sorting algorithm, in Python.","[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]","def bubbleSort(arr):
 n = len(arr)
 for i in range(n - 1):
 for j in range(0, n - i - 1):
 if arr[j] > arr[j + 1]:
 arr[j], arr[j + 1] = arr[j + 1], arr[j]
 
 # Driver code to test above
arr = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
bubbleSort(arr)

print (""Sorted array is:"")
for i in range(len(arr)):
print (""%d"" %arr[i])"
Edit the given Python code to improve its runtime complexity.,"def func(arr):
  for i in range(len(arr)):
    for j in range(len(arr)):
      if arr[i] == arr[j]:
        print(arr[i])","def func(arr):
  s = set()
  # Store all the elements in a set
  for item in arr:
    s.add(item)
  # Traverse the list and search for the element 
  # in set. It will take O(1) time
  for item in arr:
    if item in s:
      print(item)"
